participant,N_backexperiment,NASA_TLX,Momentary_Affect_Scale_1,Momentary_Affect_Scale_2,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.675a0da9-1deb-447e-848f-8084412cbf5f.txt,"",25994,1966,7243,0,2023-08-03-18-52,2023-08-03-18-59,7
s.174155c0-7116-49f5-bec8-1c1ef391fd9f.txt,"",14647,2472,4327,0,2023-08-03-19-21,2023-08-03-19-25,4
s.4205a118-66c8-47c2-b5e5-021aaa47f3c0.txt,"",8815,3373,3442,0,2023-08-03-22-22,2023-08-03-22-27,5
s.5e2744f4-2ae0-4f29-b53c-b58fb367703c.txt,"",7189,1771,2468,0,2023-08-03-20-52,2023-08-03-20-56,4
s.f6f3e06c-ce20-4c9e-8c6d-61d6af3637c7.txt,"",8265,4601,5223,0,2023-08-03-20-23,2023-08-03-20-28,5
s.b91f0dac-ee68-457d-a98b-ba348027d0a8.txt,"",9681,4107,6443,0,2023-08-03-19-55,2023-08-03-19-59,4
s.47b3c730-5937-4460-9490-49b185c5d79d.txt,"",6521,1542,3777,0,2023-08-03-21-53,2023-08-03-21-57,4
s.879bea0f-1d68-46e1-b4c6-81013a081d29.txt,"",12176,1979,2278,0,2023-08-03-22-53,2023-08-03-23-03,10
s.e36d4bd3-20f0-4ffd-8b8e-7fa834669578.txt,"",8254,4760,2612,0,2023-08-03-21-24,2023-08-03-21-28,4
s.35b031ca-b64a-4e78-aeef-59b5170ce213.txt,"",27908,10200,17638,0,2023-08-03-18-26,2023-08-03-18-31,5
