participant,N_backexperiment,NASA_TLX,Momentary_Affect_Scale_1,Momentary_Affect_Scale_2,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.317ba215-ef18-4dcb-8316-c25e7610ca56.txt,"",10290,2399,1406,0,2023-09-21-20-32,2023-09-21-20-36,4
s.cab55dba-61e2-43a0-95e7-2fc0381f6eb7.txt,"",12783,9493,4489,0,2023-09-21-17-52,2023-09-21-17-56,4
s.712afb03-94fc-42af-b057-853419b0db8b.txt,"",6788,1738,1107,0,2023-09-21-22-21,2023-09-21-22-25,4
s.b3d0206b-92a6-4262-856b-8b5a56f0155f.txt,"",4498,1278,1731,0,2023-09-21-21-51,2023-09-21-21-55,4
s.b1145f01-8dc1-42ef-8c10-79cccd2fcd72.txt,"",7662,2060,1449,0,2023-09-21-21-32,2023-09-21-21-36,4
s.1fb2c128-51f8-4a01-b4f0-3a7bf73e8b81.txt,"",9465,3634,3884,0,2023-09-21-20-06,2023-09-21-20-10,4
s.3d2382cd-0b53-4434-8b13-d1e64b9e7f94.txt,"",63526,7603,4264,0,2023-09-21-18-02,2023-09-21-18-07,5
s.6adda057-d585-4632-9631-e2d588dbe436.txt,"",21588,2505,1710,0,2023-09-21-21-03,2023-09-21-21-07,4
s.4536744c-fd8c-427f-9d7e-c410dc86e7ac.txt,"",5213,6287,2219,0,2023-09-21-18-22,2023-09-21-18-32,10
s.098be35e-854c-4b9f-bad5-3e0a37c8db81.txt,"",7261,1624,155338,0,2023-09-21-18-34,2023-09-21-18-38,4
s.f9a3f307-a56d-4a56-8d72-56f6acd67375.txt,"",4402,1350,2174,0,2023-09-21-22-02,2023-09-21-22-06,4
s.052de618-e17a-4303-98c8-a92dccc623cc.txt,"",3083,1858,2850,0,2023-09-21-20-22,2023-09-21-20-26,4
s.847abd80-059b-4779-ba75-24502272fc51.txt,"",6423,2900,2648,0,2023-09-21-19-56,2023-09-21-20-00,4
s.46f12500-a1ad-45ac-8752-501f7f332ecb.txt,"",7614,1489,2803,0,2023-09-21-21-22,2023-09-21-21-26,4
s.ce4ada99-4f84-4efe-ac4f-fb21f0884bd1.txt,"",6155,1929,1271,0,2023-09-21-19-34,2023-09-21-19-37,3
s.89df4b90-e5cd-4b26-9f39-9e0521e6070a.txt,"",3722,2892,2370,0,2023-09-21-22-31,2023-09-21-22-35,4
s.551dc3c2-a252-48d8-9422-fa9c0d71ac56.txt,"",8954,3874,4861,0,2023-09-21-20-53,2023-09-21-20-57,4
s.33ac64d6-69a1-44dd-a50e-5be5a2af040b.txt,"",16711,3235,3777,0,2023-09-21-19-04,2023-09-21-19-08,4
s.3245c522-962d-4ac3-94e6-d19359d76df3.txt,"",7580,5084,3876,0,2023-09-21-18-53,2023-09-21-18-59,6
s.93089b08-840d-4521-8c8c-251f1279011c.txt,"",3841,4250,3804,0,2023-09-21-19-23,2023-09-21-19-27,4
