participant,N_backexperiment,NASA_TLX,Momentary_Affect_Scale_1,Momentary_Affect_Scale_2,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.97c3eb18-654f-4d4c-8754-38c6d420bf55.txt,"",3446,3295,2842,0,2023-08-31-22-23,2023-08-31-22-28,5
s.784fa468-743d-4f5b-8c35-7e66e7fd0d66.txt,"",3539,2010,2420,0,2023-08-31-23-37,2023-08-31-23-41,4
s.e5402d29-c814-4ea3-a75e-c89392b2a588.txt,"",4694,6435,3854,0,2023-08-31-23-54,2023-08-31-23-59,5
s.d8f9d8b0-e68f-460a-8c88-427d14f9d663.txt,"",4521,3495,2491,0,2023-08-31-22-33,2023-08-31-22-37,4
s.5b7ec83a-ce41-4ec6-a37d-92434dafedaa.txt,"",9691,4172,2093,0,2023-08-31-21-31,2023-08-31-21-36,5
s.6c9f7131-dc55-4946-a280-d74f82590637.txt,"",5204,3064,2897,0,2023-08-31-21-03,2023-08-31-21-07,4
s.5077452f-4d36-46eb-853d-6d5b86117851.txt,"",7590,1785,1922,0,2023-09-01-00-04,2023-09-01-00-07,3
s.57cf7edc-f780-4472-b93d-131c813fa18b.txt,"",8527,2635,1764,0,2023-08-31-20-02,2023-08-31-20-06,4
s.664a92bb-2c93-4738-80c9-7ac67d51dfa3.txt,"",7950,2016,1416,0,2023-08-31-20-32,2023-08-31-20-37,5
s.651b2632-49ab-4efc-809e-2022a85e0195.txt,"",5029,2876,2379,0,2023-08-31-23-02,2023-08-31-23-06,4
s.438305ce-17c0-4faa-8bf5-c5d53e386ee7.txt,"",17676,4473,1349,0,2023-08-31-20-23,2023-08-31-20-28,5
s.12f4b2d8-510e-4298-9469-9badad296598.txt,"",6015,3300,5393,0,2023-08-31-23-32,2023-08-31-23-36,4
s.172d4c79-a7da-4315-98e4-a1bf737a7599.txt,"",7448,2669,1433,0,2023-09-01-00-31,2023-09-01-00-35,4
s.f76c2678-ed4b-4e8c-8385-2c9b12fb4f85.txt,"",7390,2112,4260,0,2023-08-31-22-04,2023-08-31-22-08,4
s.cc1e1914-f783-4daf-bf4f-f4e43a464624.txt,"",12179,3863,2776,0,2023-08-31-21-23,2023-08-31-21-28,5
s.8bbed6e2-76c5-40e1-9196-3df96a559233.txt,"",7541,5164,3634,0,2023-08-31-22-52,2023-08-31-22-56,4
s.ac4e4493-6dab-4022-859f-8e54c6653cb1.txt,"",13540,6961,2513,0,2023-08-31-20-53,2023-08-31-20-58,5
s.41caa1d8-1892-4621-a94f-03e4a83aad8f.txt,"",14649,1931,7352,0,2023-08-31-19-52,2023-08-31-19-57,5
s.2b28a3cc-aca3-43da-8782-cb357c4eda6d.txt,"",7134,6494,4168,0,2023-08-31-21-52,2023-08-31-21-56,4
s.47da79ce-a505-4ea2-b5e5-ab06ce4c036a.txt,"",4182,4508,2197,0,2023-09-01-00-20,2023-09-01-00-24,4
