participant,N_backexperiment,NASA_TLX,Momentary_Affect_Scale_1,Momentary_Affect_Scale_2,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.30077609-72f7-42f6-8e77-d4309a9db474.txt,"",7330,6189,6872,0,2023-09-25-17-50,2023-09-25-17-54,4
s.10fdbbc9-b073-49aa-b7d4-d2f14b2b4a17.txt,"",8509,2501,4680,0,2023-09-25-18-51,2023-09-25-18-55,4
s.340cbf35-8cff-4a09-be7b-463008e888bc.txt,"",6501,3676,2159,0,2023-09-25-23-25,2023-09-25-23-29,4
s.3d103117-16cd-48f8-aacc-45889351819c.txt,"",13958,7513,6619,0,2023-09-25-19-33,2023-09-25-19-38,5
s.5ae629be-3994-4cfb-a364-9e78c0f93e67.txt,"",6359,1145,1892,0,2023-09-25-21-52,2023-09-25-21-56,4
s.1e486657-4157-4c87-b093-7ea3d3522599.txt,"",8600,3754,2152,0,2023-09-25-19-52,2023-09-25-19-56,4
s.5931992a-f131-464f-ae62-00513f628d3a.txt,"",6298,1797,3083,0,2023-09-25-23-54,2023-09-25-23-58,4
s.a1bad078-1073-467b-b927-0c65879cabdc.txt,"",10240,3985,3097,0,2023-09-25-20-21,2023-09-25-20-25,4
s.f522f79f-8527-44c3-8650-2f257d5af4d6.txt,"",5542,2656,4309,0,2023-09-25-22-31,2023-09-25-22-34,3
s.565593b6-9e91-4e26-8aac-49f39501d97f.txt,"",7495,6163,2907,0,2023-09-25-21-02,2023-09-25-21-06,4
s.4be28c1d-2f9a-48bb-8cdd-51f87f5aa35a.txt,"",9549,4058,2927,0,2023-09-25-21-21,2023-09-25-21-25,4
s.f26e3e97-e36c-4ab5-8625-eb9cb6135869.txt,"",8750,4886,4513,0,2023-09-25-19-21,2023-09-25-19-25,4
s.692478d4-a00a-48ab-ba48-6a674287c8ee.txt,"",7499,2238,2931,0,2023-09-25-22-52,2023-09-25-22-55,3
s.e80bfbde-33be-41af-8299-f54a3831f99d.txt,"",6302,2183,2434,0,2023-09-25-21-39,2023-09-25-21-43,4
s.b973ee58-4cbd-4823-a171-8bc4b5a0b136.txt,"",8995,2421,2552,0,2023-09-25-20-52,2023-09-25-20-55,3
s.dd575ed9-5aaf-44a4-9849-160cc13add46.txt,"",9857,3347,5190,0,2023-09-25-18-22,2023-09-25-18-26,4
s.60aac3a2-8bc6-4928-9d53-4bc8cfc9c623.txt,"",14635,3981,3586,0,2023-09-25-20-32,2023-09-25-20-37,5
s.c6c0d74c-b88e-4e4f-b50e-45975062fe18.txt,"",9848,4938,2707,0,2023-09-25-20-03,2023-09-25-20-07,4
s.a069386b-47b5-4528-bf47-a34b76ac568b.txt,"",9647,5711,3920,0,2023-09-25-17-23,2023-09-25-17-27,4
s.1f8578fc-c147-4970-9abe-5dae4792fadb.txt,"",5814,3517,5687,0,2023-09-25-22-01,2023-09-25-22-06,5
