participant,N_backexperiment,NASA_TLX,Momentary_Affect_Scale_1,Momentary_Affect_Scale_2,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.431a9ba4-432b-42f2-982b-af9b571deb8a.txt,"",9334,1475,3186,0,2023-07-31-22-33,2023-07-31-22-37,4
s.15181e36-f4e3-4d30-ba5f-a7876af29969.txt,"",19368,3744,7528,0,2023-07-31-22-02,2023-07-31-22-06,4
s.161439cd-1202-4b40-ae2d-4be7e8116f01.txt,"",28469,29521,9743,0,2023-07-31-18-23,2023-07-31-18-44,21
s.ea7ec649-3e31-47ab-9692-e087ff55b8d8.txt,"",7829,3088,1565,0,2023-07-31-23-01,2023-07-31-23-05,4
s.80bf77a0-fa71-440b-b12b-6cb64b974517.txt,"",6857,1901,1706,0,2023-07-31-21-23,2023-07-31-21-28,5
s.cc6a5ebd-cc43-4f6d-b6b9-f67d7e6d336a.txt,"",13448,5570,4831,0,2023-07-31-19-04,2023-07-31-19-09,5
s.e1b42a74-fba6-4b63-90bf-1f7380671960.txt,"",11220,1408,1317,0,2023-07-31-22-24,2023-07-31-22-28,4
s.ac845029-9bae-4f2e-9c4d-f7df4d616dfc.txt,"",9818,2069,3134,0,2023-07-31-21-32,2023-07-31-21-36,4
s.ea5981f1-50d4-4bbf-9e91-00753f243f48.txt,"",19486,5562,3558,0,2023-07-31-19-35,2023-07-31-19-39,4
s.11da30b7-5d1c-43d0-950d-b6ea51cbedd2.txt,"",12933,6031,7804,0,2023-07-31-19-55,2023-07-31-19-59,4
s.42860c96-f238-49cd-a7df-c7fcdcc03418.txt,"",9751,9678,4114,0,2023-07-31-21-03,2023-07-31-21-07,4
s.370e43e3-e885-4107-9c5a-c404fbb9eca7.txt,"",6472,1463,2121,0,2023-07-31-21-52,2023-07-31-21-56,4
s.7c3558d3-e460-4a9e-9b9f-0dbbdc4283d2.txt,"",18020,8321,8841,0,2023-07-31-19-24,2023-07-31-19-29,5
s.fb1c9cc5-6987-4705-98ee-8f6f6870d475.txt,"",11260,3745,3071,0,2023-07-31-20-23,2023-07-31-20-27,4
s.59a4efa8-167e-45f6-a048-557f6eae84b1.txt,"",13229,4020,1532,0,2023-07-31-20-54,2023-07-31-20-58,4
s.ec4fc96b-5338-451f-b360-43666d44ea47.txt,"",9955,3069,1242,0,2023-07-31-20-32,2023-07-31-20-36,4
s.e01adc35-734b-4791-8aab-a94da5b9d4a1.txt,"",8297,3830,6632,0,2023-07-31-20-04,2023-07-31-20-08,4
s.3597b1e6-399d-4f7f-864e-6f3ec10c0cfe.txt,"",8941,1316,1701,0,2023-07-31-22-51,2023-07-31-22-55,4
s.0b3fe135-ae82-4c32-9b4c-4459ba52bd03.txt,"",18183,9516,10297,0,2023-07-31-18-53,2023-07-31-18-58,5
