participant,N_backexperiment_1,NASA_TLX_1,NASA_TLX_2,NASA_TLX_3,Momentary_Affect_Scale_1_1,Momentary_Affect_Scale_2_1,TIME_start,TIME_end,TIME_total
s.65e7c54f-f2a1-44fd-baf5-bdb4f02895c6.txt,N_back.2023-09-14-1922.data.65e7c54f-f2a1-44fd-baf5-bdb4f02895c6.txt,11,9,4,6,5,2023-09-14-19-18,2023-09-14-19-22,4
s.86e7d07e-b550-411c-bdcb-1542add7abdd.txt,N_back.2023-09-14-2227.data.86e7d07e-b550-411c-bdcb-1542add7abdd.txt,11,10,3,6,6,2023-09-14-22-21,2023-09-14-22-27,6
s.6d8e4e86-1c6f-4fe5-aa9f-89945b926d69.txt,N_back.2023-09-14-2300.data.6d8e4e86-1c6f-4fe5-aa9f-89945b926d69.txt,8,8,16,8,3,2023-09-14-22-57,2023-09-14-23-01,4
s.e3d20f5b-ec80-48ad-b14a-c7227ba6df67.txt,N_back.2023-09-14-2140.data.e3d20f5b-ec80-48ad-b14a-c7227ba6df67.txt,10,9,10,3,8,2023-09-14-21-36,2023-09-14-21-41,5
s.68dd4672-9a25-4102-b3fa-d67f7c69c9ec.txt,N_back.2023-09-14-2107.data.68dd4672-9a25-4102-b3fa-d67f7c69c9ec.txt,12,10,17,6,6,2023-09-14-21-04,2023-09-14-21-08,4
s.e7cf42e8-eaa1-48e0-a179-6e4b6cfdfc94.txt,N_back.2023-09-14-2025.data.e7cf42e8-eaa1-48e0-a179-6e4b6cfdfc94.txt,9,10,2,6,6,2023-09-14-20-21,2023-09-14-20-25,4
s.455b984f-17d1-43b2-90c0-2b127827f586.txt,N_back.2023-09-14-2005.data.455b984f-17d1-43b2-90c0-2b127827f586.txt,12,12,4,3,7,2023-09-14-20-01,2023-09-14-20-05,4
s.dd8a9bef-9dd8-4c63-89d4-79c981b832d1.txt,N_back.2023-09-14-1932.data.dd8a9bef-9dd8-4c63-89d4-79c981b832d1.txt,9,7,13,4,4,2023-09-14-19-28,2023-09-14-19-32,4
s.5ff09288-fccd-4f17-87d0-6a41d6c87481.txt,N_back.2023-09-14-2159.data.5ff09288-fccd-4f17-87d0-6a41d6c87481.txt,10,10,3,6,7,2023-09-14-21-54,2023-09-14-21-59,5
s.1be4a0a3-5701-44dc-b956-08746d86aecc.txt,N_back.2023-09-14-1905.data.1be4a0a3-5701-44dc-b956-08746d86aecc.txt,8,6,10,3,8,2023-09-14-19-01,2023-09-14-19-05,4
s.f14d0b2a-a807-452a-817e-8d37bf44291c.txt,N_back.2023-09-14-2209.data.f14d0b2a-a807-452a-817e-8d37bf44291c.txt,6,14,18,8,3,2023-09-14-22-05,2023-09-14-22-09,4
s.4a1757fe-cf4a-4d7e-b3ea-73c917aba045.txt,N_back.2023-09-14-1827.data.4a1757fe-cf4a-4d7e-b3ea-73c917aba045.txt,13,11,10,7,4,2023-09-14-18-23,2023-09-14-18-27,4
s.ddd3507d-58dd-4618-bc19-933ba025707a.txt,N_back.2023-09-14-2056.data.ddd3507d-58dd-4618-bc19-933ba025707a.txt,11,8,5,6,6,2023-09-14-20-53,2023-09-14-20-57,4
s.215f6e33-241a-4358-bc79-e90c3b22e7ee.txt,N_back.2023-09-14-2035.data.215f6e33-241a-4358-bc79-e90c3b22e7ee.txt,8,8,7,3,8,2023-09-14-20-31,2023-09-14-20-36,5
s.bab930fe-512b-4831-8455-50f7a75d4b10.txt,N_back.2023-09-14-2134.data.bab930fe-512b-4831-8455-50f7a75d4b10.txt,10,10,3,6,6,2023-09-14-21-25,2023-09-14-21-35,10
s.6d2990d9-9a71-416e-b79d-93f5f94978b1.txt,N_back.2023-09-14-1955.data.6d2990d9-9a71-416e-b79d-93f5f94978b1.txt,13,9,8,6,5,2023-09-14-19-51,2023-09-14-19-55,4
s.34cc7375-726d-4ebe-b16b-a3f108d5a6aa.txt,N_back.2023-09-14-2250.data.34cc7375-726d-4ebe-b16b-a3f108d5a6aa.txt,10,11,5,6,6,2023-09-14-22-45,2023-09-14-22-50,5
s.0b7cd1a7-22cc-4105-a5fb-a1c37e311eca.txt,N_back.2023-09-14-1836.data.0b7cd1a7-22cc-4105-a5fb-a1c37e311eca.txt,16,10,20,9,3,2023-09-14-18-32,2023-09-14-18-37,5
s.59c9a9df-acea-45fc-8941-8f812993dc02.txt,N_back.2023-09-14-1855.data.59c9a9df-acea-45fc-8941-8f812993dc02.txt,10,10,2,6,5,2023-09-14-18-51,2023-09-14-18-55,4
