participant,N_backexperiment_1,NASA_TLX_1,NASA_TLX_2,NASA_TLX_3,Momentary_Affect_Scale_1_1,Momentary_Affect_Scale_2_1,TIME_start,TIME_end,TIME_total
s.57919a60-2ad6-43d5-a70a-e96a8cf3d957.txt,N_back.2023-10-10-2325.data.57919a60-2ad6-43d5-a70a-e96a8cf3d957.txt,3,4,16,6,5,2023-10-10-23-22,2023-10-10-23-25,3
s.709eef34-0ecb-457b-8d9a-c1c63a67bc8e.txt,N_back.2023-10-10-2154.data.709eef34-0ecb-457b-8d9a-c1c63a67bc8e.txt,8,3,14,6,5,2023-10-10-21-50,2023-10-10-21-54,4
s.8ed11dd3-3d14-4e8c-890a-9b9fdbbc3935.txt,N_back.2023-10-10-2025.data.8ed11dd3-3d14-4e8c-890a-9b9fdbbc3935.txt,8,2,14,6,5,2023-10-10-20-21,2023-10-10-20-25,4
s.d87e4e87-4e1b-44a3-bb60-29849265b42b.txt,N_back.2023-10-10-2347.data.d87e4e87-4e1b-44a3-bb60-29849265b42b.txt,6,3,12,7,5,2023-10-10-23-43,2023-10-10-23-47,4
s.2c3a0f15-6c3d-4de1-a884-6ddcdca513f9.txt,N_back.2023-10-10-2225.data.2c3a0f15-6c3d-4de1-a884-6ddcdca513f9.txt,7,3,18,6,5,2023-10-10-22-21,2023-10-10-22-25,4
s.1c31fba8-39b5-42ab-bdd7-b5ffd2c844d2.txt,N_back.2023-10-10-2126.data.1c31fba8-39b5-42ab-bdd7-b5ffd2c844d2.txt,8,5,15,6,4,2023-10-10-21-22,2023-10-10-21-26,4
s.2acd6cba-9353-446f-8ee0-58279501a11d.txt,N_back.2023-10-10-2254.data.2acd6cba-9353-446f-8ee0-58279501a11d.txt,7,3,13,6,5,2023-10-10-22-50,2023-10-10-22-54,4
s.cf9b94d2-1284-439f-9ee2-2fc75b179e6e.txt,N_back.2023-10-10-2054.data.cf9b94d2-1284-439f-9ee2-2fc75b179e6e.txt,6,4,17,9,3,2023-10-10-20-51,2023-10-10-20-54,3
s.9e4f210f-111d-4f04-bb4e-8a989e147ddb.txt,N_back.2023-10-10-1925.data.9e4f210f-111d-4f04-bb4e-8a989e147ddb.txt,9,3,16,6,5,2023-10-10-19-21,2023-10-10-19-25,4
s.c331ee9d-fcbc-4f51-a59e-78ac11f594fb.txt,N_back.2023-10-10-1954.data.c331ee9d-fcbc-4f51-a59e-78ac11f594fb.txt,9,2,16,6,4,2023-10-10-19-50,2023-10-10-19-54,4
