participant,N_backexperiment_1,NASA_TLX_1,NASA_TLX_2,NASA_TLX_3,Momentary_Affect_Scale_1_1,Momentary_Affect_Scale_2_1,TIME_start,TIME_end,TIME_total
s.e34ee7e2-98f9-4cc0-a931-f0235ca30b20.txt,N_back.2023-08-22-2005.data.e34ee7e2-98f9-4cc0-a931-f0235ca30b20.txt,7,6,8,3,4,2023-08-22-20-01,2023-08-22-20-05,4
s.03c4b043-23c6-4727-a434-8ef8601d2d75.txt,N_back.2023-08-22-1854.data.03c4b043-23c6-4727-a434-8ef8601d2d75.txt,10,10,10,1,2,2023-08-22-18-50,2023-08-22-18-54,4
s.486dfbf3-877a-45ee-991b-93e5fa7c4ed7.txt,N_back.2023-08-22-1955.data.486dfbf3-877a-45ee-991b-93e5fa7c4ed7.txt,11,11,13,1,3,2023-08-22-19-52,2023-08-22-19-55,3
s.17aead83-187d-40b2-9283-2049249b584b.txt,N_back.2023-08-22-2127.data.17aead83-187d-40b2-9283-2049249b584b.txt,11,11,4,1,2,2023-08-22-21-23,2023-08-22-21-27,4
s.70724cfa-36d7-4e46-8183-ff9216d31b13.txt,N_back.2023-08-22-1924.data.70724cfa-36d7-4e46-8183-ff9216d31b13.txt,11,11,14,1,3,2023-08-22-19-20,2023-08-22-19-24,4
s.a500ec0f-643b-4ea8-a242-aabd66a85a95.txt,N_back.2023-08-22-2205.data.a500ec0f-643b-4ea8-a242-aabd66a85a95.txt,9,8,6,4,3,2023-08-22-22-01,2023-08-22-22-05,4
s.cc4a5f80-4fba-4d24-9968-a10e287f749f.txt,"","","","","","",2023-08-22-21-23,"",""
s.bb02427b-52a1-4ab1-9616-084a2ccdb03c.txt,N_back.2023-08-22-2304.data.bb02427b-52a1-4ab1-9616-084a2ccdb03c.txt,9,7,7,4,2,2023-08-22-23-01,2023-08-22-23-04,3
s.74520e4b-0b53-4408-98cc-93f2af6862ad.txt,N_back.2023-08-22-2235.data.74520e4b-0b53-4408-98cc-93f2af6862ad.txt,9,7,8,4,3,2023-08-22-22-31,2023-08-22-22-35,4
s.539810c3-f8d5-46a4-acf0-83b6a383b782.txt,N_back.2023-08-22-2055.data.539810c3-f8d5-46a4-acf0-83b6a383b782.txt,11,11,13,1,2,2023-08-22-20-52,2023-08-22-20-55,3
s.29b0eb78-c027-44e9-8c07-94ab624ba08b.txt,N_back.2023-08-22-2036.data.29b0eb78-c027-44e9-8c07-94ab624ba08b.txt,6,6,6,4,3,2023-08-22-20-32,2023-08-22-20-36,4
s.6aefd8d8-d1ac-4f9d-b8b7-8618fdc6b392.txt,N_back.2023-08-22-1827.data.6aefd8d8-d1ac-4f9d-b8b7-8618fdc6b392.txt,11,11,8,1,4,2023-08-22-18-24,2023-08-22-18-28,4
s.a1600387-d79e-47ff-bc9f-9335df283309.txt,N_back.2023-08-22-2155.data.a1600387-d79e-47ff-bc9f-9335df283309.txt,10,10,12,1,2,2023-08-22-21-51,2023-08-22-21-55,4
s.cb926014-9233-49f2-bb24-c4ec30b7b9f2.txt,N_back.2023-08-22-1935.data.cb926014-9233-49f2-bb24-c4ec30b7b9f2.txt,7,6,8,4,4,2023-08-22-19-31,2023-08-22-19-35,4
s.f00f88ee-a7a0-42bb-8bad-33b4a8f0e2fb.txt,"","","","","","",2023-08-22-22-49,"",""
s.8ef7aa53-1ca5-4920-aa7a-495aabecb7ef.txt,N_back.2023-08-22-2106.data.8ef7aa53-1ca5-4920-aa7a-495aabecb7ef.txt,7,6,8,4,4,2023-08-22-21-02,2023-08-22-21-06,4
s.df44f646-37a2-47cf-bd24-b637550f33ff.txt,N_back.2023-08-22-2254.data.df44f646-37a2-47cf-bd24-b637550f33ff.txt,11,11,13,1,1,2023-08-22-22-50,2023-08-22-22-54,4
s.efed87c9-dfe0-4184-9d98-7e3d3d415ed6.txt,N_back.2023-08-22-2138.data.efed87c9-dfe0-4184-9d98-7e3d3d415ed6.txt,7,6,6,5,3,2023-08-22-21-34,2023-08-22-21-38,4
s.8538fab4-f580-4868-b01c-a0e67ef2adfe.txt,N_back.2023-08-22-1905.data.8538fab4-f580-4868-b01c-a0e67ef2adfe.txt,7,6,8,4,3,2023-08-22-19-00,2023-08-22-19-05,5
s.1f22a146-f652-4a56-9155-dce6364265d8.txt,N_back.2023-08-22-2225.data.1f22a146-f652-4a56-9155-dce6364265d8.txt,10,11,10,1,1,2023-08-22-22-21,2023-08-22-22-25,4
s.bd2b8a59-cbc8-4e58-be0b-9647cc97abec.txt,N_back.2023-08-22-2025.data.bd2b8a59-cbc8-4e58-be0b-9647cc97abec.txt,10,10,17,1,3,2023-08-22-20-21,2023-08-22-20-26,5
s.abe2314a-1ceb-4521-8beb-4110aa3285f2.txt,N_back.2023-08-22-1837.data.abe2314a-1ceb-4521-8beb-4110aa3285f2.txt,6,6,8,4,4,2023-08-22-18-33,2023-08-22-18-37,4
