participant,N_backexperiment_1,NASA_TLX_1,NASA_TLX_2,NASA_TLX_3,Momentary_Affect_Scale_1_1,Momentary_Affect_Scale_2_1,TIME_start,TIME_end,TIME_total
s.1831db5a-1ba6-4e92-9771-f17cdcd30f18.txt,N_back.2023-09-06-0023.data.1831db5a-1ba6-4e92-9771-f17cdcd30f18.txt,7,6,7,2,2,2023-09-06-00-19,2023-09-06-00-23,4
s.3f95d89d-4cf6-4c63-822d-06eaab071ea3.txt,N_back.2023-09-05-2225.data.3f95d89d-4cf6-4c63-822d-06eaab071ea3.txt,6,8,7,4,9,2023-09-05-22-22,2023-09-05-22-26,4
s.3fd62939-e5c4-4d28-b159-b858b589a4f4.txt,N_back.2023-09-05-1934.data.3fd62939-e5c4-4d28-b159-b858b589a4f4.txt,10,10,7,4,6,2023-09-05-19-31,2023-09-05-19-35,4
s.cfc66a15-09b7-4341-bed5-6c18e4f262ba.txt,N_back.2023-09-05-1905.data.cfc66a15-09b7-4341-bed5-6c18e4f262ba.txt,10,7,10,5,6,2023-09-05-19-00,2023-09-05-19-05,5
s.e6027507-1362-4cdb-8abd-3ffdfa800ff5.txt,N_back.2023-09-05-2236.data.e6027507-1362-4cdb-8abd-3ffdfa800ff5.txt,14,9,19,6,1,2023-09-05-22-32,2023-09-05-22-36,4
s.25d083ef-8027-4496-9795-225b9b9a1c38.txt,N_back.2023-09-05-2326.data.25d083ef-8027-4496-9795-225b9b9a1c38.txt,7,7,6,4,5,2023-09-05-23-22,2023-09-05-23-26,4
s.2530e1f3-aa14-462a-bc4d-f97bd8b43aad.txt,N_back.2023-09-05-2056.data.2530e1f3-aa14-462a-bc4d-f97bd8b43aad.txt,5,6,6,3,9,2023-09-05-20-52,2023-09-05-20-56,4
s.078ce134-8132-458c-ab5a-72e245510283.txt,N_back.2023-09-05-2208.data.078ce134-8132-458c-ab5a-72e245510283.txt,13,10,19,4,4,2023-09-05-22-04,2023-09-05-22-20,16
s.563a22e4-3a06-43bc-b9d2-0510503b4f77.txt,N_back.2023-09-05-2354.data.563a22e4-3a06-43bc-b9d2-0510503b4f77.txt,6,4,7,2,3,2023-09-05-23-50,2023-09-05-23-54,4
s.a5fcbcc6-6d87-4dda-af15-0011961450be.txt,N_back.2023-09-05-2137.data.a5fcbcc6-6d87-4dda-af15-0011961450be.txt,15,10,18,7,1,2023-09-05-21-33,2023-09-05-21-38,5
s.53f1570e-ad26-4aa5-a0b6-2a4aaf22a299.txt,N_back.2023-09-05-2156.data.53f1570e-ad26-4aa5-a0b6-2a4aaf22a299.txt,6,8,8,3,9,2023-09-05-21-53,2023-09-05-21-57,4
s.dad4ee89-8c5a-4297-a169-2700becbc702.txt,N_back.2023-09-05-1955.data.dad4ee89-8c5a-4297-a169-2700becbc702.txt,5,4,8,3,10,2023-09-05-19-52,2023-09-05-19-56,4
s.e3814c0c-2bf1-45a8-bc4d-4bf2caaec6f8.txt,N_back.2023-09-05-2039.data.e3814c0c-2bf1-45a8-bc4d-4bf2caaec6f8.txt,10,11,10,4,4,2023-09-05-20-35,2023-09-05-20-39,4
s.acd33d49-ebbb-49fa-886f-d7911bae1f2d.txt,N_back.2023-09-05-1836.data.acd33d49-ebbb-49fa-886f-d7911bae1f2d.txt,8,9,10,6,5,2023-09-05-18-32,2023-09-05-18-36,4
s.8e51fd51-ee1b-4fed-b0e8-b4d73faec06d.txt,N_back.2023-09-05-2305.data.8e51fd51-ee1b-4fed-b0e8-b4d73faec06d.txt,12,10,20,6,1,2023-09-05-23-01,2023-09-05-23-05,4
s.90c10dfc-b0bd-4035-95a1-031d3fe88dcf.txt,N_back.2023-09-05-2005.data.90c10dfc-b0bd-4035-95a1-031d3fe88dcf.txt,10,10,9,5,7,2023-09-05-20-02,2023-09-05-20-06,4
s.971bda84-2aa2-4167-932c-d825c0c60fdb.txt,N_back.2023-09-05-2126.data.971bda84-2aa2-4167-932c-d825c0c60fdb.txt,7,8,8,3,10,2023-09-05-21-22,2023-09-05-21-26,4
s.cd67bad2-b68b-48c2-b16e-db6bdfcf003c.txt,N_back.2023-09-05-2255.data.cd67bad2-b68b-48c2-b16e-db6bdfcf003c.txt,5,6,7,3,8,2023-09-05-22-51,2023-09-05-22-55,4
s.2e70b047-2794-4232-8c55-ae1c47ec8b4f.txt,N_back.2023-09-05-2108.data.2e70b047-2794-4232-8c55-ae1c47ec8b4f.txt,12,11,11,4,2,2023-09-05-21-04,2023-09-05-21-08,4
s.c907c981-373b-49bf-9b14-6b70f6f17a3a.txt,N_back.2023-09-05-2026.data.c907c981-373b-49bf-9b14-6b70f6f17a3a.txt,7,6,8,6,9,2023-09-05-20-22,2023-09-05-20-27,5
