participant,N_backexperiment_1,NASA_TLX_1,NASA_TLX_2,NASA_TLX_3,Momentary_Affect_Scale_1_1,Momentary_Affect_Scale_2_1,TIME_start,TIME_end,TIME_total
s.675a0da9-1deb-447e-848f-8084412cbf5f.txt,N_back.2023-08-03-1858.data.675a0da9-1deb-447e-848f-8084412cbf5f.txt,6,7,14,2,8,2023-08-03-18-52,2023-08-03-18-59,7
s.174155c0-7116-49f5-bec8-1c1ef391fd9f.txt,N_back.2023-08-03-1925.data.174155c0-7116-49f5-bec8-1c1ef391fd9f.txt,4,4,14,2,7,2023-08-03-19-21,2023-08-03-19-25,4
s.4205a118-66c8-47c2-b5e5-021aaa47f3c0.txt,N_back.2023-08-03-2227.data.4205a118-66c8-47c2-b5e5-021aaa47f3c0.txt,3,3,17,1,2,2023-08-03-22-22,2023-08-03-22-27,5
s.5e2744f4-2ae0-4f29-b53c-b58fb367703c.txt,N_back.2023-08-03-2056.data.5e2744f4-2ae0-4f29-b53c-b58fb367703c.txt,3,3,15,2,4,2023-08-03-20-52,2023-08-03-20-56,4
s.f6f3e06c-ce20-4c9e-8c6d-61d6af3637c7.txt,N_back.2023-08-03-2028.data.f6f3e06c-ce20-4c9e-8c6d-61d6af3637c7.txt,3,3,13,2,5,2023-08-03-20-23,2023-08-03-20-28,5
s.b91f0dac-ee68-457d-a98b-ba348027d0a8.txt,N_back.2023-08-03-1959.data.b91f0dac-ee68-457d-a98b-ba348027d0a8.txt,4,4,15,2,5,2023-08-03-19-55,2023-08-03-19-59,4
s.47b3c730-5937-4460-9490-49b185c5d79d.txt,N_back.2023-08-03-2157.data.47b3c730-5937-4460-9490-49b185c5d79d.txt,3,3,16,1,3,2023-08-03-21-53,2023-08-03-21-57,4
s.879bea0f-1d68-46e1-b4c6-81013a081d29.txt,N_back.2023-08-03-2303.data.879bea0f-1d68-46e1-b4c6-81013a081d29.txt,3,3,17,1,2,2023-08-03-22-53,2023-08-03-23-03,10
s.e36d4bd3-20f0-4ffd-8b8e-7fa834669578.txt,N_back.2023-08-03-2127.data.e36d4bd3-20f0-4ffd-8b8e-7fa834669578.txt,3,3,16,1,4,2023-08-03-21-24,2023-08-03-21-28,4
s.35b031ca-b64a-4e78-aeef-59b5170ce213.txt,N_back.2023-08-03-1830.data.35b031ca-b64a-4e78-aeef-59b5170ce213.txt,6,10,18,3,8,2023-08-03-18-26,2023-08-03-18-31,5
