participant,N_backexperiment_1,NASA_TLX_1,NASA_TLX_2,NASA_TLX_3,Momentary_Affect_Scale_1_1,Momentary_Affect_Scale_2_1,TIME_start,TIME_end,TIME_total
s.8ff8963a-1999-475e-b467-7c35de5e1ef9.txt,N_back.2023-09-13-2107.data.8ff8963a-1999-475e-b467-7c35de5e1ef9.txt,12,12,15,6,4,2023-09-13-21-01,2023-09-13-21-08,7
s.f2ed0ce6-c44c-4004-b375-d7fc3e527645.txt,N_back.2023-09-13-2257.data.f2ed0ce6-c44c-4004-b375-d7fc3e527645.txt,13,10,14,6,3,2023-09-13-22-53,2023-09-13-22-57,4
s.37a1f785-1d94-42b0-92cd-bc7961da28ae.txt,N_back.2023-09-13-2127.data.37a1f785-1d94-42b0-92cd-bc7961da28ae.txt,9,9,20,5,5,2023-09-13-21-23,2023-09-13-21-28,5
s.d8648ab1-de11-4f6b-863f-9addefc3fe18.txt,N_back.2023-09-13-2356.data.d8648ab1-de11-4f6b-863f-9addefc3fe18.txt,8,11,20,5,1,2023-09-13-23-52,2023-09-13-23-56,4
s.c8ceb532-f67e-4024-bc71-c1b7fe6ef2dd.txt,N_back.2023-09-13-1939.data.c8ceb532-f67e-4024-bc71-c1b7fe6ef2dd.txt,20,16,17,10,7,2023-09-13-19-34,2023-09-13-19-40,6
s.478b71ab-5fa0-456e-9b97-eac3da2ec9da.txt,N_back.2023-09-13-2325.data.478b71ab-5fa0-456e-9b97-eac3da2ec9da.txt,12,11,17,4,2,2023-09-13-23-22,2023-09-13-23-25,3
s.ba42a42b-0c4c-4423-86af-699de26b70ce.txt,N_back.2023-09-13-2156.data.ba42a42b-0c4c-4423-86af-699de26b70ce.txt,8,9,10,6,6,2023-09-13-21-52,2023-09-13-21-56,4
s.a2c01d77-a719-4b09-a1d5-742b228dab68.txt,N_back.2023-09-13-1929.data.a2c01d77-a719-4b09-a1d5-742b228dab68.txt,15,11,20,8,8,2023-09-13-19-24,2023-09-13-19-30,6
s.2debcab9-fb23-44f3-a1d0-ebce6510240a.txt,N_back.2023-09-13-1957.data.2debcab9-fb23-44f3-a1d0-ebce6510240a.txt,11,11,17,8,6,2023-09-13-19-52,2023-09-13-19-57,5
s.24e284f4-3b7c-49b9-95fe-3a2be01276a9.txt,N_back.2023-09-13-2239.data.24e284f4-3b7c-49b9-95fe-3a2be01276a9.txt,9,8,9,3,3,2023-09-13-22-35,2023-09-13-22-40,5
s.cdf29cba-0025-49c6-bea9-1179321abb46.txt,N_back.2023-09-13-2307.data.cdf29cba-0025-49c6-bea9-1179321abb46.txt,9,7,11,6,3,2023-09-13-23-04,2023-09-13-23-08,4
s.b587210c-68dd-4e7d-9e44-42cc4ac2d301.txt,N_back.2023-09-13-2230.data.b587210c-68dd-4e7d-9e44-42cc4ac2d301.txt,12,11,20,5,4,2023-09-13-22-22,2023-09-13-22-30,8
s.ed692ce5-5088-4c5f-b015-9e040d01b18b.txt,N_back.2023-09-13-2207.data.ed692ce5-5088-4c5f-b015-9e040d01b18b.txt,12,9,18,6,3,2023-09-13-22-03,2023-09-13-22-08,5
s.b8955553-5b86-4c83-86dc-7d22ad631d81.txt,N_back.2023-09-13-1910.data.b8955553-5b86-4c83-86dc-7d22ad631d81.txt,16,20,20,11,8,2023-09-13-19-04,2023-09-13-19-11,7
s.da368ed1-5c95-48cb-b975-5695d7d195d3.txt,N_back.2023-09-13-2008.data.da368ed1-5c95-48cb-b975-5695d7d195d3.txt,15,15,10,7,7,2023-09-13-20-03,2023-09-13-20-08,5
s.7d6503f8-7480-4eb8-83b5-658e19dbeb86.txt,N_back.2023-09-13-2138.data.7d6503f8-7480-4eb8-83b5-658e19dbeb86.txt,12,10,13,5,4,2023-09-13-21-34,2023-09-13-21-39,5
s.3c5c43ed-0370-4d3e-8236-e43a7e8ce0d3.txt,N_back.2023-09-13-2037.data.3c5c43ed-0370-4d3e-8236-e43a7e8ce0d3.txt,10,11,8,6,5,2023-09-13-20-33,2023-09-13-20-37,4
s.4262156d-b514-47ed-9688-764b690a63cc.txt,N_back.2023-09-13-1840.data.4262156d-b514-47ed-9688-764b690a63cc.txt,15,19,16,10,10,2023-09-13-18-02,2023-09-13-18-41,39
s.14081d20-b352-428d-8812-4748a19847e4.txt,N_back.2023-09-13-2056.data.14081d20-b352-428d-8812-4748a19847e4.txt,8,8,10,5,9,2023-09-13-20-52,2023-09-13-20-56,4
s.3cf66d66-b19a-4085-ab67-112c190308ed.txt,N_back.2023-09-13-2026.data.3cf66d66-b19a-4085-ab67-112c190308ed.txt,11,11,16,6,6,2023-09-13-20-21,2023-09-13-20-26,5
