participant,N_backexperiment,NASA_TLX,Momentary_Affect_Scale_1,Momentary_Affect_Scale_2,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.8aab0a78-a0dd-46e8-95ed-5cff65d73c17.txt,"",7902,3038,4737,0,2023-09-18-20-51,2023-09-18-20-54,3
s.db006ba2-ab48-4158-b51c-b5a8de1eafc6.txt,"",6285,2842,3910,0,2023-09-18-19-49,2023-09-18-19-54,5
s.a9e16a20-e09d-4de9-bcf9-85748ae12844.txt,"",11385,4764,3530,0,2023-09-18-18-22,2023-09-18-18-26,4
s.7125f044-f2a3-407a-9601-4e9bc41af380.txt,"",14542,5072,7685,0,2023-09-18-17-24,2023-09-18-17-33,9
s.11d6f69b-7d6d-4812-83bd-6c507f42e100.txt,"",6167,2137,3182,0,2023-09-18-21-50,2023-09-18-21-54,4
s.1b42522b-f7ef-4932-aceb-50cbb9191bec.txt,"",8254,3746,5014,0,2023-09-18-19-20,2023-09-18-19-24,4
s.f10ed28b-80f8-48c2-912e-66afdab18ac8.txt,"",9289,4562,6729,0,2023-09-18-18-52,2023-09-18-18-56,4
s.d1afeb42-40d4-46eb-8aef-5cc8f3341506.txt,"",5939,3773,1972,0,2023-09-18-21-22,2023-09-18-21-26,4
s.ea8259ca-ee69-41d2-90cf-87c12caa1221.txt,"",9985,5530,5485,0,2023-09-18-17-51,2023-09-18-17-56,5
s.b6b6303a-de1c-4b50-9789-ce48431984ee.txt,"",7333,3084,9956,0,2023-09-18-20-22,2023-09-18-20-26,4
