participant,N_backexperiment,NASA_TLX,Momentary_Affect_Scale_1,Momentary_Affect_Scale_2,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.c3928127-ac0d-46a0-9cd3-f944134dc044.txt,"",7945,5282,2585,0,2023-10-02-19-32,2023-10-02-19-36,4
s.baf160e6-b25c-430b-9d79-61c290ce0532.txt,"",6754,3546,2992,0,2023-10-02-20-22,2023-10-02-20-26,4
s.d3612fa0-dd8c-4304-823d-d5dee01c0727.txt,"",4997,3535,3757,0,2023-10-02-23-53,2023-10-02-23-57,4
s.25679bd3-23c2-42d0-91c1-9986bd9330d2.txt,"",5071,1745,1895,0,2023-10-02-21-50,2023-10-02-21-53,3
s.3ee3f88c-1da7-4679-a55d-a0ef83d01095.txt,"",7494,4135,2278,0,2023-10-02-21-21,2023-10-02-21-25,4
s.a9ae6a9a-b621-4777-8ad9-e9f5849f62a8.txt,"",7726,3556,5193,0,2023-10-02-17-22,2023-10-02-17-26,4
s.b0bd36ef-75a0-4192-b5d6-983e89098ece.txt,"",7346,3534,5337,0,2023-10-02-19-50,2023-10-02-19-54,4
s.020c7c98-ac9f-4877-8555-fdd1fbbbb1b6.txt,"",7459,3462,7946,0,2023-10-02-20-52,2023-10-02-20-56,4
s.f097eea3-7a58-4cd7-9303-abc7d9faf1f4.txt,"",5838,3418,2346,0,2023-10-02-23-31,2023-10-02-23-35,4
s.da545742-3193-4e2d-afd2-5372b6a4d838.txt,"",7805,2902,4299,0,2023-10-02-21-02,2023-10-02-21-06,4
s.8bdaae2d-e3da-44a8-a20a-282ce43eb41d.txt,"",4912,2686,4381,0,2023-10-02-18-21,2023-10-02-18-25,4
s.28137713-960e-459b-9a8a-5e0acc25d2cc.txt,"",4919,1774,2665,0,2023-10-02-23-00,2023-10-02-23-04,4
s.edcaf93d-7e32-4006-8a23-585db932c681.txt,"",4963,1896,1577,0,2023-10-02-19-20,2023-10-02-19-24,4
s.4f75bacd-83ff-43af-8e50-e2b2fe799e8a.txt,"",10017,3177,6543,0,2023-10-02-20-32,2023-10-02-20-37,5
s.5b4df55e-a7c7-434c-a86f-339dcc84acf8.txt,"",5806,1543,2493,0,2023-10-02-22-00,2023-10-02-22-04,4
s.cb640597-51d6-4b24-8196-471eeaa96899.txt,"",5758,2537,2046,0,2023-10-02-17-50,2023-10-02-17-54,4
s.04a8fbd0-a0b1-4f2d-9d73-39ba3bea4e0e.txt,"",6574,4155,1937,0,2023-10-02-18-51,2023-10-02-18-55,4
s.b952ba46-8e70-4492-8cfa-a34ebd873603.txt,"",5594,1215,3505,0,2023-10-02-21-32,2023-10-02-21-36,4
s.d80e777a-a011-4537-ae3d-c5a11c31424c.txt,"",5069,3516,2475,0,2023-10-02-22-33,2023-10-02-22-37,4
s.0ab8e9a0-a9f2-4db9-b6cf-42751feddbbb.txt,"",9676,12177,2410,0,2023-10-02-20-01,2023-10-02-20-06,5
