participant,N_backexperiment_1,NASA_TLX_1,NASA_TLX_2,NASA_TLX_3,Momentary_Affect_Scale_1_1,Momentary_Affect_Scale_2_1,TIME_start,TIME_end,TIME_total
s.14951f29-886d-4762-8be4-2bbdcc96b865.txt,N_back.2023-08-28-1839.data.14951f29-886d-4762-8be4-2bbdcc96b865.txt,11,11,13,8,9,2023-08-28-18-34,2023-08-28-18-40,6
s.22d09351-18df-4d26-814a-046e1b0f406f.txt,N_back.2023-08-28-2208.data.22d09351-18df-4d26-814a-046e1b0f406f.txt,13,12,13,9,10,2023-08-28-22-05,2023-08-28-22-09,4
s.1d4b8b78-a86a-4b29-b7a3-842fc0e34c72.txt,N_back.2023-08-28-2226.data.1d4b8b78-a86a-4b29-b7a3-842fc0e34c72.txt,1,1,8,1,1,2023-08-28-22-22,2023-08-28-22-26,4
s.e1e54ec4-591f-43eb-9b58-9affe8863625.txt,N_back.2023-08-28-1856.data.e1e54ec4-591f-43eb-9b58-9affe8863625.txt,9,10,10,7,5,2023-08-28-18-52,2023-08-28-18-57,5
s.28f8642b-4ac1-467a-a620-f6162796e06b.txt,N_back.2023-08-28-2006.data.28f8642b-4ac1-467a-a620-f6162796e06b.txt,14,13,15,9,8,2023-08-28-20-02,2023-08-28-20-07,5
s.9aa2a349-07bd-4a9b-b9f9-6d0ef01459a4.txt,N_back.2023-08-28-1937.data.9aa2a349-07bd-4a9b-b9f9-6d0ef01459a4.txt,13,13,17,9,8,2023-08-28-19-33,2023-08-28-19-37,4
s.51b5f01e-a8d5-47d4-abfb-1a3eb71b9c46.txt,N_back.2023-08-28-2055.data.51b5f01e-a8d5-47d4-abfb-1a3eb71b9c46.txt,4,20,4,9,4,2023-08-28-20-51,2023-08-28-20-56,5
s.dbf50e52-2e6a-40d2-8e0b-035a24fcb105.txt,N_back.2023-08-28-2139.data.dbf50e52-2e6a-40d2-8e0b-035a24fcb105.txt,14,13,12,9,9,2023-08-28-21-35,2023-08-28-21-39,4
s.e669472d-c86f-4581-b733-63780a5ed4d5.txt,N_back.2023-08-28-2107.data.e669472d-c86f-4581-b733-63780a5ed4d5.txt,12,12,11,10,10,2023-08-28-21-03,2023-08-28-21-07,4
s.37fefd5a-cc12-4663-a03f-cde3fec4e01c.txt,N_back.2023-08-28-2027.data.37fefd5a-cc12-4663-a03f-cde3fec4e01c.txt,10,13,6,1,4,2023-08-28-20-23,2023-08-28-20-27,4
s.5196fad3-f995-4873-8d89-6ae7d683b32a.txt,N_back.2023-08-28-2158.data.5196fad3-f995-4873-8d89-6ae7d683b32a.txt,2,12,4,1,1,2023-08-28-21-54,2023-08-28-21-58,4
s.71563856-4659-46ea-ba79-c65da9abed3a.txt,N_back.2023-08-28-1828.data.71563856-4659-46ea-ba79-c65da9abed3a.txt,10,13,15,7,4,2023-08-28-18-23,2023-08-28-18-29,6
s.74c09c96-053e-4d14-8968-ad20a0b082d4.txt,N_back.2023-08-28-1906.data.74c09c96-053e-4d14-8968-ad20a0b082d4.txt,"","","","","",2023-08-28-19-07,"",""
s.90d80c95-9aa3-4e5e-aa4c-5ecbfc5db586.txt,N_back.2023-08-28-1925.data.90d80c95-9aa3-4e5e-aa4c-5ecbfc5db586.txt,10,10,15,6,4,2023-08-28-19-21,2023-08-28-19-26,5
s.c2136db9-97fd-4ffa-b6af-317ff9efb036.txt,N_back.2023-08-28-2306.data.c2136db9-97fd-4ffa-b6af-317ff9efb036.txt,13,12,11,10,9,2023-08-28-23-02,2023-08-28-23-06,4
s.73026d93-fc55-4683-b5d1-a9ae2e622b57.txt,N_back.2023-08-28-1954.data.73026d93-fc55-4683-b5d1-a9ae2e622b57.txt,11,14,5,1,7,2023-08-28-19-51,2023-08-28-19-55,4
s.9dd28dd1-adc8-457e-9f77-374e9b327212.txt,N_back.2023-08-28-2038.data.9dd28dd1-adc8-457e-9f77-374e9b327212.txt,14,13,11,9,10,2023-08-28-20-34,2023-08-28-20-39,5
s.b5794b5f-a41f-4148-86a7-2e2736e38019.txt,N_back.2023-08-28-2237.data.b5794b5f-a41f-4148-86a7-2e2736e38019.txt,15,14,13,9,10,2023-08-28-22-33,2023-08-28-22-37,4
s.73618e21-fdc0-4577-95e3-b64f502fca2a.txt,N_back.2023-08-28-2256.data.73618e21-fdc0-4577-95e3-b64f502fca2a.txt,1,15,6,1,1,2023-08-28-22-52,2023-08-28-22-56,4
s.c6ba1e6d-cb2d-4e65-abf0-8a3da341f87d.txt,N_back.2023-08-28-2129.data.c6ba1e6d-cb2d-4e65-abf0-8a3da341f87d.txt,5,15,7,1,3,2023-08-28-21-24,2023-08-28-21-29,5
