participant,N_backexperiment,NASA_TLX,Momentary_Affect_Scale_1,Momentary_Affect_Scale_2,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.14951f29-886d-4762-8be4-2bbdcc96b865.txt,"",24344,10863,11148,0,2023-08-28-18-34,2023-08-28-18-40,6
s.22d09351-18df-4d26-814a-046e1b0f406f.txt,"",7158,2738,2632,0,2023-08-28-22-05,2023-08-28-22-09,4
s.1d4b8b78-a86a-4b29-b7a3-842fc0e34c72.txt,"",14165,785,1731,0,2023-08-28-22-22,2023-08-28-22-26,4
s.e1e54ec4-591f-43eb-9b58-9affe8863625.txt,"",14101,3022,5444,0,2023-08-28-18-52,2023-08-28-18-57,5
s.28f8642b-4ac1-467a-a620-f6162796e06b.txt,"",10029,4361,5896,0,2023-08-28-20-02,2023-08-28-20-07,5
s.9aa2a349-07bd-4a9b-b9f9-6d0ef01459a4.txt,"",15462,8192,8263,0,2023-08-28-19-33,2023-08-28-19-37,4
s.51b5f01e-a8d5-47d4-abfb-1a3eb71b9c46.txt,"",8595,3111,4756,0,2023-08-28-20-51,2023-08-28-20-56,5
s.dbf50e52-2e6a-40d2-8e0b-035a24fcb105.txt,"",9630,2767,1504,0,2023-08-28-21-35,2023-08-28-21-39,4
s.e669472d-c86f-4581-b733-63780a5ed4d5.txt,"",10340,4460,6891,0,2023-08-28-21-03,2023-08-28-21-07,4
s.37fefd5a-cc12-4663-a03f-cde3fec4e01c.txt,"",8389,4604,3793,0,2023-08-28-20-23,2023-08-28-20-27,4
s.5196fad3-f995-4873-8d89-6ae7d683b32a.txt,"",7392,1941,1388,0,2023-08-28-21-54,2023-08-28-21-58,4
s.71563856-4659-46ea-ba79-c65da9abed3a.txt,"",19492,5542,6201,0,2023-08-28-18-23,2023-08-28-18-29,6
s.74c09c96-053e-4d14-8968-ad20a0b082d4.txt,"","","","",0,2023-08-28-19-07,"",""
s.90d80c95-9aa3-4e5e-aa4c-5ecbfc5db586.txt,"",9673,5878,4261,0,2023-08-28-19-21,2023-08-28-19-26,5
s.c2136db9-97fd-4ffa-b6af-317ff9efb036.txt,"",7268,6956,3661,0,2023-08-28-23-02,2023-08-28-23-06,4
s.73026d93-fc55-4683-b5d1-a9ae2e622b57.txt,"",14744,24766,8315,0,2023-08-28-19-51,2023-08-28-19-55,4
s.9dd28dd1-adc8-457e-9f77-374e9b327212.txt,"",12792,7723,7955,0,2023-08-28-20-34,2023-08-28-20-39,5
s.b5794b5f-a41f-4148-86a7-2e2736e38019.txt,"",9751,1958,2178,0,2023-08-28-22-33,2023-08-28-22-37,4
s.73618e21-fdc0-4577-95e3-b64f502fca2a.txt,"",7325,1385,870,0,2023-08-28-22-52,2023-08-28-22-56,4
s.c6ba1e6d-cb2d-4e65-abf0-8a3da341f87d.txt,"",11805,3235,2940,0,2023-08-28-21-24,2023-08-28-21-29,5
