participant,N_backexperiment,NASA_TLX,Momentary_Affect_Scale_1,Momentary_Affect_Scale_2,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.d0368388-cbad-45c9-bf3e-f3e2a4302f78.txt,"",8232,7559,5757,0,2023-09-12-23-04,2023-09-12-23-08,4
s.7fe85e72-0ec4-44ba-a443-a0b460dcbb10.txt,"",11027,3465,1729,0,2023-09-12-20-52,2023-09-12-20-56,4
s.65cd427d-f6e9-47cc-86ed-d098e4038a44.txt,"",8233,8141,4850,0,2023-09-12-22-02,2023-09-12-22-06,4
s.94692252-fb0d-4c0f-a119-dc2a3b0899d9.txt,"",8444,4399,3231,0,2023-09-12-21-37,2023-09-12-21-41,4
s.f6bfe01f-7349-4d7e-8565-b21264e43279.txt,"",18023,5337,3945,0,2023-09-12-18-34,2023-09-12-18-38,4
s.0934ae46-4556-4c2f-801a-bfc4cb7436fc.txt,"",8097,2546,4596,0,2023-09-12-18-25,2023-09-12-18-29,4
s.440171cb-5d62-46b1-af60-f490d0caa3af.txt,"",8069,6757,4903,0,2023-09-12-20-02,2023-09-12-20-06,4
s.ffa8184b-778c-4333-82e7-83402188227b.txt,"",7112,4169,2712,0,2023-09-12-22-31,2023-09-12-22-35,4
s.9085359c-43b0-411b-abd9-ac3a139c0be1.txt,"",9663,1764,3034,0,2023-09-12-19-32,2023-09-12-19-36,4
s.e8432134-8438-4072-a32d-51e155cce2b3.txt,"",6687,5967,3644,0,2023-09-12-20-31,2023-09-12-20-35,4
s.065eb4b0-3904-4a3d-ac2d-1ab1c8cb6623.txt,"",5589,2227,2194,0,2023-09-12-18-52,2023-09-12-18-56,4
s.8d440537-1010-4281-a0af-24eaa991e844.txt,"",5698,1803,3183,0,2023-09-12-20-23,2023-09-12-20-27,4
s.ff4713de-df02-424e-b5bb-5293ba765604.txt,"",6526,4197,1743,0,2023-09-12-19-52,2023-09-12-19-56,4
s.4835ced6-181b-4ad7-adce-a9ecb2132cd7.txt,"",9768,4280,15664,0,2023-09-12-19-02,2023-09-12-19-06,4
s.6d8f743c-6a0d-4753-bcef-0a69a30f5ae8.txt,"",8717,3024,3516,0,2023-09-12-19-21,2023-09-12-19-25,4
s.cd599bcb-a526-4692-90d3-dd6340a52645.txt,"",21014,2741,2254,0,2023-09-12-22-54,2023-09-12-22-59,5
s.8c4ae2d9-04d3-4148-a9b3-bb4e09b8bdd2.txt,"",5072,2775,1586,0,2023-09-12-22-21,2023-09-12-22-25,4
s.d1019dfe-6e3f-4c5c-80d9-1af1fcfeeb56.txt,"",9951,3717,2589,0,2023-09-12-21-52,2023-09-12-21-56,4
s.d9db63e2-f201-4d77-9281-a0a5c6c2fc65.txt,"",12692,3300,3282,0,2023-09-12-21-02,2023-09-12-21-06,4
s.6345ec2c-3724-40cc-9e54-8aabb3ae0666.txt,"",7479,4046,1546,0,2023-09-12-21-26,2023-09-12-21-34,8
