participant,N_backexperiment_1,NASA_TLX_1,NASA_TLX_2,NASA_TLX_3,Momentary_Affect_Scale_1_1,Momentary_Affect_Scale_2_1,TIME_start,TIME_end,TIME_total
s.27735918-1db9-45b5-8c42-e89d9250059d.txt,N_back.2023-08-04-2300.data.27735918-1db9-45b5-8c42-e89d9250059d.txt,17,14,5,4,2,2023-08-04-22-56,2023-08-04-23-00,4
s.05e45236-5795-4ded-91b0-7d251238a310.txt,N_back.2023-08-04-2030.data.05e45236-5795-4ded-91b0-7d251238a310.txt,12,11,3,8,8,2023-08-04-20-24,2023-08-04-20-31,7
s.c03d65b2-63b8-4d81-8ba0-fefb1e24fd2e.txt,N_back.2023-08-04-2059.data.c03d65b2-63b8-4d81-8ba0-fefb1e24fd2e.txt,15,12,8,9,9,2023-08-04-20-54,2023-08-04-20-59,5
s.03efbf97-1077-47f4-8769-599dbd4773db.txt,N_back.2023-08-04-2158.data.03efbf97-1077-47f4-8769-599dbd4773db.txt,16,12,14,5,3,2023-08-04-21-54,2023-08-04-21-58,4
s.285ab807-7062-4f9a-bec5-0f88e39990e2.txt,N_back.2023-08-04-2325.data.285ab807-7062-4f9a-bec5-0f88e39990e2.txt,20,14,17,6,1,2023-08-04-23-21,2023-08-04-23-25,4
s.3c128e10-f6cb-4bcd-bd5c-fd7902527a7b.txt,N_back.2023-08-04-2227.data.3c128e10-f6cb-4bcd-bd5c-fd7902527a7b.txt,16,8,7,4,3,2023-08-04-22-23,2023-08-04-22-28,5
s.212e642c-6a94-461c-b3b1-a6984f776137.txt,N_back.2023-08-04-2004.data.212e642c-6a94-461c-b3b1-a6984f776137.txt,13,15,4,7,7,2023-08-04-19-59,2023-08-04-20-04,5
s.11827d0c-8627-49ff-a255-090cff3bd0d3.txt,N_back.2023-08-04-2129.data.11827d0c-8627-49ff-a255-090cff3bd0d3.txt,16,6,12,7,7,2023-08-04-21-25,2023-08-04-21-30,5
s.e0c4310e-c0c4-42f0-a0b7-6ba6dbc473cf.txt,N_back.2023-08-04-1850.data.e0c4310e-c0c4-42f0-a0b7-6ba6dbc473cf.txt,11,8,14,4,8,2023-08-04-18-43,2023-08-04-18-51,8
s.9df9f6d8-55b9-4361-9d4b-4949039ad122.txt,N_back.2023-08-04-1928.data.9df9f6d8-55b9-4361-9d4b-4949039ad122.txt,12,11,11,6,4,2023-08-04-19-24,2023-08-04-19-29,5
