participant,N_backexperiment,NASA_TLX,Momentary_Affect_Scale_1,Momentary_Affect_Scale_2,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.2aab61fc-468f-49ea-bc35-644869fc708e.txt,"",5099,4825,2911,0,2023-08-17-21-25,2023-08-17-21-29,4
s.56c5bd52-7b87-43f5-ab65-f6211abc881f.txt,"",9457,3408,3399,0,2023-08-17-19-09,2023-08-17-19-14,5
s.214e620a-33db-4ce5-9859-446265c465d7.txt,"",6552,1208,976,0,2023-08-17-22-52,2023-08-17-22-56,4
s.ecfdb8b8-253c-4cd9-95db-de8ab1c82c6b.txt,"",5769,1326,1913,0,2023-08-17-20-25,2023-08-17-20-29,4
s.3bdf5d46-2ef9-4fe5-a46d-948c2109037b.txt,"",4913,1449,2513,0,2023-08-17-20-52,2023-08-17-20-56,4
s.2c2f9ae7-85a6-405a-9f8c-2e7602bab10b.txt,"",10992,1774,1316,0,2023-08-17-20-35,2023-08-17-20-39,4
s.d8eb1fcd-8905-46dc-a7f4-9e7259111239.txt,"",18429,6716,28821,0,2023-08-17-19-37,2023-08-17-19-41,4
s.29e19cfc-f927-440c-8c98-49fb065e92d1.txt,"",19878,7312,1544,0,2023-08-17-21-06,2023-08-17-21-10,4
s.ba4322d2-f56c-4336-b662-28207404b9a9.txt,"",16988,19716,2997,0,2023-08-17-18-35,2023-08-17-18-40,5
s.f3cca027-a3e6-4492-8d96-ae109b15a6d1.txt,"",6912,1220,1373,0,2023-08-17-22-09,2023-08-17-22-13,4
s.edc9fcc0-ec40-41c8-a2bc-e2bddb08e218.txt,"",9052,1976,2195,0,2023-08-17-22-37,2023-08-17-22-42,5
s.1562dd1a-11ae-4bc0-a25f-80dfa1e0686c.txt,"",8863,1668,5108,0,2023-08-17-21-57,2023-08-17-22-01,4
s.cc5a9a0c-f488-4a21-8253-10b926df6c0d.txt,"",7327,1763,3154,0,2023-08-17-22-25,2023-08-17-22-30,5
s.01f6518c-a680-41bd-af62-8a4fe521ed11.txt,"",14490,3096,4701,0,2023-08-17-18-22,2023-08-17-18-27,5
s.6e57c1b1-645f-49d4-9ba0-e128c03a0132.txt,"",10378,2749,2036,0,2023-08-17-19-52,2023-08-17-19-57,5
s.a775d365-1855-493b-9f4a-67adf5c30231.txt,"",8003,976,2070,0,2023-08-17-18-53,2023-08-17-18-57,4
s.c1bd5c9a-0195-4c8d-9f42-05324457ec94.txt,"",11563,4792,6445,0,2023-08-17-21-35,2023-08-17-21-39,4
s.e5069963-a753-401d-b7b6-a06998a96b19.txt,"",9661,1557,3394,0,2023-08-17-19-21,2023-08-17-19-27,6
s.a2f2f2d2-12ec-4b0b-86d1-22fe582041b6.txt,"",24927,3290,13446,0,2023-08-17-20-06,2023-08-17-20-10,4
s.9194f582-f5a3-45bf-a103-1508063587bd.txt,"",6378,1647,1043,0,2023-08-17-23-03,2023-08-17-23-07,4
